imdbID,Title,Year,Rating10,Review,FirstWatched,LastWatched,Tags,SafeForParents,ForKids
tt0250494,Legally Blonde,2001,8.1,"Finalmente um filme que fala de preconceito e todo o estigma associado a essa classe tão sofrida. Estou falando de **Legalmente Loira (2001)**!

Esse filme não tinha direito de ser tão bom. Uma comédia muito bem feita, com umas sacadas ótimas. É um verdadeiro marco do seu gênero.",2025,2025,,False,False
tt0333780,"Legally Blonde 2: Red, White & Blonde",2003,6.0,"Uma pena que a continuação **Legalmente Loira 2 (2003)** não mantêm a qualidade. Aqui o roteiro é bem mais pobre, e a personagem principal ficou bem mais estereotipada sofrendo de um caso leve de flanderização. Mas o filme não é uma porcaria completa não, dá para se divertir.",2025,2025,,False,False
tt28443655,Death of a Unicorn,2025,5.2,"Tem um conceito interessante, o trailer me convenceu a assistir e fui com grandes expectativas. Mas o filme é, infelizmente, previsível e que não surpreende. Uma pena, até pelo grande elenco",2025-06-20,2025-06-20,,True,False
tt0114709,Toy Story,1995,,,,,,True,True
tt0120623,A Bug's Life,1998,,,,,,True,True
tt0120363,Toy Story 2,1999,,,,,,True,True
tt0198781,"Monsters, Inc.",2001,,,,,,True,True
tt0266543,Finding Nemo,2003,,,,,,True,True
tt0317705,The Incredibles,2004,,,,,,True,True
tt0317219,Cars,2006,,,,,,True,True
